Group,Value,Train n,Test n,Encoded n_features,Test ROC-AUC,Test Average Precision,Test F1,Test Precision,Test Recall
Country,India,33961,8534,20,0.7721,0.6205,0.6936,0.697,0.6902
Country,UK,8573,2069,20,0.6689,0.4906,0.488,0.7826,0.3545
Country,South Korea,11967,2995,20,0.6579,0.4757,0.4662,0.732,0.342
Country,Nigeria,25425,6491,20,0.6713,0.4604,0.49,0.7155,0.3725
Country,China,25528,6448,20,0.6554,0.4474,0.4761,0.7016,0.3604
Country,Brazil,17097,4315,20,0.6689,0.4433,0.4602,0.6984,0.3432
Country,Germany,8465,2092,20,0.6445,0.4426,0.4541,0.6759,0.3419
Country,USA,8408,2150,20,0.6687,0.4401,0.4919,0.672,0.388
Country,Japan,13574,3292,20,0.6527,0.4187,0.4454,0.6728,0.3328
Country,Russia,17144,4150,20,0.6381,0.4158,0.4554,0.6995,0.3376
