Group,Value,Test n,Test ROC-AUC,Test Average Precision,Test F1,Test Precision,Test Recall
Country,India,8534,0.7745,0.6313,0.6936,0.697,0.6902
Country,Nigeria,6491,0.6727,0.4616,0.49,0.7155,0.3725
Country,UK,2069,0.662,0.4801,0.488,0.7826,0.3545
Country,Japan,3292,0.659,0.4238,0.4454,0.6728,0.3328
Country,South Korea,2995,0.6564,0.4616,0.4662,0.732,0.342
Country,China,6448,0.6549,0.4359,0.4761,0.7016,0.3604
Country,USA,2150,0.6545,0.4478,0.4933,0.6917,0.3834
Country,Brazil,4315,0.6531,0.4208,0.4602,0.6984,0.3432
Country,Germany,2092,0.6501,0.4003,0.4541,0.6759,0.3419
Country,Russia,4150,0.6307,0.4247,0.4554,0.6995,0.3376
