Group,Split,Value,n,malignant_n,malignancy_rate
Country,test,Brazil,4315,877,0.20324449594438007
Country,train,Brazil,17097,3602,0.21068023629876587
Country,test,China,6448,1357,0.21045285359801488
Country,train,China,25528,5341,0.20922124725791288
Country,test,Germany,2092,427,0.20411089866156787
Country,train,Germany,8465,1790,0.21145894861193149
Country,test,India,8534,2799,0.32798218889149283
Country,train,India,33961,11177,0.32911280586555164
Country,test,Japan,3292,655,0.19896719319562575
Country,train,Japan,13574,2824,0.20804479151318697
Country,test,Nigeria,6491,1377,0.21213988599599445
Country,train,Nigeria,25425,5335,0.20983284169124877
Country,test,Russia,4150,862,0.20771084337349396
Country,train,Russia,17144,3644,0.2125524965002333
Country,test,South Korea,2995,655,0.21869782971619364
Country,train,South Korea,11967,2426,0.20272415810144565
Country,test,UK,2069,457,0.2208796520057999
Country,train,UK,8573,1768,0.20622885804269217
Country,test,USA,2150,433,0.2013953488372093
Country,train,USA,8408,1686,0.200523311132255
Ethnicity,test,African,8468,2135,0.2521256495040151
Ethnicity,train,African,33944,8669,0.25539123261843033
Ethnicity,test,Asian,10695,3588,0.33548387096774196
Ethnicity,train,Asian,42563,14230,0.3343279374104269
Ethnicity,test,Caucasian,12822,2289,0.1785212915301825
Ethnicity,train,Caucasian,50843,9076,0.17851031607104223
Ethnicity,test,Hispanic,6364,1137,0.17866121935889379
Ethnicity,train,Hispanic,25644,4542,0.17711745437529247
Ethnicity,test,Middle Eastern,4187,750,0.1791258657750179
Ethnicity,train,Middle Eastern,17148,3076,0.1793795194774901
