Step,Action,Removed feature,Remaining features after step,CV average_precision mean,CV average_precision std,Score change,Accepted
0,start,,"['Age', 'Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'Obesity', 'Diabetes', 'TSH_Level', 'T3_Level', 'T4_Level', 'Nodule_Size']",0.32355,0.00312,0.0,True
1,remove,Age,"['Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'Obesity', 'Diabetes', 'TSH_Level', 'T3_Level', 'T4_Level', 'Nodule_Size']",0.32378,0.00294,0.00023,True
2,remove,Diabetes,"['Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'Obesity', 'TSH_Level', 'T3_Level', 'T4_Level', 'Nodule_Size']",0.32401,0.00307,0.00023,True
3,remove,T4_Level,"['Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'Obesity', 'TSH_Level', 'T3_Level', 'Nodule_Size']",0.3243,0.00295,0.00029,True
4,remove,Nodule_Size,"['Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'Obesity', 'TSH_Level', 'T3_Level']",0.32434,0.00321,5e-05,True
5,remove,Obesity,"['Gender', 'Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'TSH_Level', 'T3_Level']",0.32443,0.00344,8e-05,True
6,remove,Gender,"['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Smoking', 'TSH_Level', 'T3_Level']",0.3245,0.00361,7e-05,True
7,remove,Smoking,"['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'TSH_Level', 'T3_Level']",0.32447,0.00363,-3e-05,True
8,remove,TSH_Level,"['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level']",0.3244,0.00336,-6e-05,True
9,stop,Radiation_Exposure,"['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level']",0.31083,0.00303,-0.01357,False
