Weight setting,Mode,Strategy,Threshold,CV Precision,CV Recall,Precision,Recall,F1,Accuracy,ROC-AUC,Average Precision,Note
None (1:1),f1,F1-optimal (screening),0.238,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291,
None (1:1),f05,F0.5-optimal (precision-leaning),0.272,0.3255,0.4478,0.328,0.4622,0.3837,0.6544,0.6243,0.3291,
None (1:1),min_precision,Min-precision>=0.50,0.536,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.3291,
Mild (1:2),f1,F1-optimal (screening),0.385,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291,
Mild (1:2),f05,F0.5-optimal (precision-leaning),0.427,0.3255,0.4474,0.328,0.4622,0.3837,0.6544,0.6243,0.3291,
Mild (1:2),min_precision,Min-precision>=0.50,0.702,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.3291,
Moderate (1:3),f1,F1-optimal (screening),0.485,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291,
Moderate (1:3),f05,F0.5-optimal (precision-leaning),0.528,0.3255,0.4474,0.328,0.4622,0.3837,0.6544,0.6243,0.3291,
Moderate (1:3),min_precision,Min-precision>=0.50,0.781,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.3291,
Balanced (auto),f1,F1-optimal (screening),0.509,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.329,
Balanced (auto),f05,F0.5-optimal (precision-leaning),0.552,0.3255,0.4477,0.328,0.4622,0.3837,0.6544,0.6243,0.329,
Balanced (auto),min_precision,Min-precision>=0.50,0.797,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.329,
Strong (1:5),f1,F1-optimal (screening),0.611,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291,
Strong (1:5),f05,F0.5-optimal (precision-leaning),0.652,0.3253,0.4499,0.328,0.4622,0.3837,0.6544,0.6243,0.3291,
Strong (1:5),min_precision,Min-precision>=0.50,0.858,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.3291,
Aggressive (1:7),f1,F1-optimal (screening),0.688,0.2984,0.7101,0.2996,0.7085,0.4211,0.5466,0.6243,0.329,
Aggressive (1:7),f05,F0.5-optimal (precision-leaning),0.724,0.3253,0.4496,0.328,0.4622,0.3837,0.6544,0.6243,0.329,
Aggressive (1:7),min_precision,Min-precision>=0.50,0.895,0.5,0.0,0.0,0.0,0.0,0.7673,0.6243,0.329,
