step,removed_feature,cv_f1,threshold,remaining_features
1,Nodule_Size,0.4201,0.4981,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Smoking, Obesity, Diabetes, TSH_Level, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio, Risk_count, Age_Nodule"
2,Age_Nodule,0.4201,0.3956,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Smoking, Obesity, Diabetes, TSH_Level, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio, Risk_count"
3,Smoking,0.4201,0.3956,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Obesity, Diabetes, TSH_Level, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio, Risk_count"
4,Risk_count,0.4201,0.3946,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Obesity, Diabetes, TSH_Level, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio"
5,Obesity,0.4202,0.3955,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Diabetes, TSH_Level, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio"
6,TSH_Level,0.4202,0.3951,"Age, Gender, Family_History, Radiation_Exposure, Iodine_Deficiency, Diabetes, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio"
7,Gender,0.4202,0.395,"Age, Family_History, Radiation_Exposure, Iodine_Deficiency, Diabetes, T3_Level, T4_Level, TSH_T3_ratio, TSH_T4_ratio, T3_T4_ratio"
8,TSH_T3_ratio,0.4202,0.3946,"Age, Family_History, Radiation_Exposure, Iodine_Deficiency, Diabetes, T3_Level, T4_Level, TSH_T4_ratio, T3_T4_ratio"
9,T3_T4_ratio,0.4201,0.4985,"Age, Family_History, Radiation_Exposure, Iodine_Deficiency, Diabetes, T3_Level, T4_Level, TSH_T4_ratio"
10,Diabetes,0.4201,0.5002,"Age, Family_History, Radiation_Exposure, Iodine_Deficiency, T3_Level, T4_Level, TSH_T4_ratio"
11,Age,0.4201,0.5013,"Family_History, Radiation_Exposure, Iodine_Deficiency, T3_Level, T4_Level, TSH_T4_ratio"
12,T4_Level,0.4201,0.5013,"Family_History, Radiation_Exposure, Iodine_Deficiency, T3_Level, TSH_T4_ratio"
13,TSH_T4_ratio,0.4201,0.5066,"Family_History, Radiation_Exposure, Iodine_Deficiency, T3_Level"
14,T3_Level,0.42,0.5122,"Family_History, Radiation_Exposure, Iodine_Deficiency"
